Title,Author,Publication Year,Abstract Note,Journal Abbreviation
Relationship of Anterior Knee Pain and Flat foot: A Cross-Sectional Study,"Patel, Mindia; Shah, Prachi; Ravaliya, Siddharth; Patel, Manan",2021.0,"Background: The collapse of medial longitudinal arch is called Flat Foot. In medical word, flat foot is associated with pronated foot. The prevalence of flatfoot is 17.1% in 7-14 years of age, 16.4% in 613 years and 17.2% in 6-12 years of age. Idiopathic anterior knee pain in nonathletic population without any history of any knee injury is mainly attributed to abnormal alignment and muscular imbalance. Flat foot is one of the contributing factors to development of anterior knee pain. Objective: The aim of present study is to find out the association between anterior knee pain and flat foot in young adults in Vadodara City. Method: Total 284 subjects were taken from the Vadodara city and assessed. Google form was created and circulated through digital media, Clarke’s Angle was measured from the foot print and Kujala Score was calculated from the Google form. Pearson Correlation test was used to analyse the data. Result: Result of the current study showed that there is negative correlation between flatfoot and anterior knee pain, which means changes in the variables taking in opposite direction. Conclusion: The present study concluded that there is negative correlation between flatfoot and anterior knee pain, which means reduction in the Medial longitudinal Arch can increase knee pain. Reduction of medical longitudinal arch can malalign the knee joint, which ultimately alter the biomechanics of knee joint that can lead to increase in severity of knee pain. More reduction of Clarke’s angle, more the severity of anterior knee pain.",
Kinematic analysis of ankle stiffness in subjects with and without flat foot,"Sung, Paul S.",2016.0,"Background
Although the magnitude of ankle motion is influenced by joint congruence and ligament elasticity, there is a lack of understanding on ankle stiffness between subjects with and without flat foot.
Objective
This study investigated a quantified ankle stiffness difference between subjects with and without flat foot.
Methods
There were forty-five age- and gender-matched subjects who participated in the study. Each subject was seated upright with the tested foot held firmly onto a footplate that was attached to a torque sensor by the joint-driving device.
Results
The flat foot group (mean ± standard deviation) demonstrated increased stiffness during ankle dorsiflexion (0.37 ± 0.16 for flat foot group, 0.28 ± 0.10 for control group; t = −2.11, p = 0.04). However, there was no significant group difference during plantar flexion (0.35 ± 0.15 for flat foot group, 0.33 ± 0.07 for control group; t = 0.64, p = 0.06).
Conclusion
The results of this study indicated that the flat foot group demonstrated increased ankle stiffness during dorsiflexion regardless of demographic factors. This study highlights the need for kinematic analyses and joint stiffness measures during ankle dorsiflexion in subjects with flat foot.",The Foot
Lower Extremity Muscle Performance and Foot Pressure in Patients Who Have Plantar Fasciitis with and without Flat Foot Posture,"Lee, Jin Hyuck; Shin, Ki Hun; Jung, Taek Sung; Jang, Woo Young",2022.0,"Abnormal foot posture and poor muscle performance are potential causes of plantar fasciitis (PF). However, no study has compared the differences between lower extremity muscle performance and foot pressure in patients who have PF with and without abnormal foot postures. This study aimed to compare the differences in lower extremity muscle performance, such as in the hip, quadriceps, hamstring, and plantar flexor, and foot pressure in patients who have PF with and without flat foot postures. Seventy patients with plantar heel pain were enrolled (37 flat feet and 33 without flat feet). The hip muscle strength was measured using a handheld digital dynamometer. The strength and reaction time of the quadriceps, hamstring, and plantar flexor muscles were evaluated using an isokinetic device. Foot pressure parameters were assessed using pedobarography. The strength of the plantar flexor muscles was significantly lower (p = 0.008), while the reaction time of the plantar flexor muscles was significantly faster (p = 0.007) for the involved feet of PF patients with flat feet than in those without flat feet. This study confirmed the differences in muscle performance between patients who have PF with different foot postures. Therefore, clinicians and therapists should plan treatment considering the differences in these characteristics for the management of these patients.",IJERPH
Flat Foot and Its Association with Mechanical Low Back Pain: A Case-Control Study Utilizing Clarke's Angle Measurement,"Lulupoy, Filjordan Andrisoni Imanuel; Pradhana, Tasya Meidy; Siahaan, Yusak Mangara Tua",2025.0,"Background: Mechanical low back pain (MLBP) is a leading cause of disability worldwide, with well-established risk factors such as obesity, occupational ergonomics, and core muscle strength. However, the role of pes planus (flat foot) as a contributing factor remains underrecognized. This study aims to investigate the association between flat foot and MLBP using Clarke’s angle as an objective measure of foot posture. Methods: A case-control study was conducted in South Timor Tengah Regency, East Nusa Tenggara, Indonesia, from December 2024 to February 2025. Fifty patients diagnosed with MLBP and 50 healthy controls were enrolled. Foot type assessment was performed using Clarke’s angle, with a cutoff of ≤30° indicating flat foot. Pain severity in the LBP group was recorded using the Numerical Rating Scale (NRS). Statistical analysis was conducted using chi-square and independent t-tests, with significance set at p < 0.05. Results: Flat foot was significantly more prevalent in the LBP group (58%) than in the control group (18%) (p = 0.000; OR: 6.29, 95% CI: 2.52-15.69), indicating that individuals with flat feet are over six times more likely to experience MLBP. No significant differences were observed between the groups regarding BMI, age, or gender. Conclusion: These findings suggest that flat foot is an independent risk factor for MLBP, likely due to altered spinal biomechanics and compensatory postural changes. Clinicians should consider foot posture assessments in MLBP patients and explore targeted interventions, such as orthotic support, to mitigate symptoms.",WJCMR
Correlation between primary flat foot and lower extremity rotational misalignment in adults,"Cebulski-Delebarre, A.; Boutry, N.; Szymanski, C.; Maynou, C.; Lefebvre, G.; Amzallag-Bellenger, E.; Cotten, A.",2016.0,"
Purpose
The goal of this study was to identify rotational abnormalities of the lower limb in adult patients with primary symptomatic flatfoot.
Materials and methods
From September 2009 to May 2012, 24 patients (12 women, 12 men; mean age: 40 years) were prospectively included in the study. Each patient underwent radiographs of the flat foot and weight-bearing upright EOS® examination. Three-dimensional reconstructions of the lower extremities were performed with derived measurements (length, hip and knee parameters, rotations). A total of 31 symptomatic primary flat feet (bilateral flat foot, n = 7 patients; unilateral flat foot, n = 17 patients) were studied and compared to 30 control subjects matched for age and gender. A comparison between the two groups was made with the Student t-test.
Results
No significant differences were found between patients and control subjects on the coronal and sagittal planes. Similarly, no significant differences were observed between the 2 groups for rotation of the lower limbs (femoral torsion, tibial torsion, tibiofemoral rotation).
Conclusion
There are no rotational abnormalities of the lower extremities in adult patients with primary symptomatic flat foot.
",Diagnostic and Interventional Imaging
An analysis on muscle tone of lower limb muscles on flexible flat foot,"Um, Gi-Mai; Wang, Joong-San; Park, Si-Eun",2015.0,"
[Purpose] The aim of this study was to examine differences in the muscle tone and stiffness of leg muscles according to types of flexible flat foot. [Subjects and Methods] For 30 subjects 10 in a normal foot group (NFG), 10 in group with both flexible flat feet (BFFG), and 10 in a group with flexible flat feet on one side (OFFG), myotonometry was used to measure the muscle tone and stiffness of the tibialis anterior muscle (TA), the rectus femoris muscle (RF), the medial gastrocnemius (MG), and the long head of the biceps femoris muscle (BF) of both lower extremities. [Results] In the measurement results, only the stiffness of TA and MG of the NFG and the BFFG showed significant differences. The muscle tone and stiffness were highest in the BFFG, followed by the OFFG and NFG, although the difference was insignificant. In the case of the OFFG, there was no significant difference in muscle tone and stiffness compared to that in the NGF and the BFFG. Furthermore, in the NFG, the non-dominant leg showed greater muscle tone and stiffness than the dominant leg, although the difference was insignificant. [Co-n clusion] During the relax condition, the flexible flat foot generally showed a greater muscle tone and stiffness of both lower extremities compared to the normal foot. The stiffness was particularly higher in the TA and MG muscles. Therefore, the muscle tone and stiffness of the lower extremity muscles must be considered in the treatment of flat foot.
",J Phys Ther Sci
"Comparison of Isometric Strength, Range of Motion, Ankle Mobility in Participants with Normal Medial Longitudinal Arch and Flat Foot","Ahsan, Mohammad; Abualait, Turki",2025.0,"Background: The foot arch is an important structural characteristic that plays a key role in supporting weight and facilitating movement. Flat foot might result in difficulties due to changes in biomechanics and muscular imbalances. Objective: The aim of this study was to determine the differences of isometric strength, range of motion, ankle mobility in participants with normal medial longitudinal arch and flat foot. Methods: A Comparison cum correlation cross-sectional study was conducted with twenty-eight normal medial longitudinal arch and twenty-eight with flat foot participants were randomly selected for this study. The navicular drop test was employed to identify foot arch. Handheld dynamometer, ankle joint range of motion, and Dorsiflexion Lunge Test were used to assess isometric strength, goniometer, and ankle mobility, respectively. An independent t-test was used to compare between the two independent groups. Pearson correlation coefficient was used to find the relationship between variables. Results: The findings of this study indicated that there were statistically significant differences between participants' arch height, ankle mobility, muscular strength, and range of motion at dorsiflexion and plantar flexion. There were statistically significant relationships among all variables except calf muscle circumference with foot arch (r=.100,p=.463), and isometric muscular strength at dorsiflexion (r=.190,p=1.61). Arch height with range of motion at dorsiflexion (r=.190,p=.160), range of motion at dorsiflexion with range of motion at plantar flexion (r=.095,p=.486) for participants with normal medial longitudinal arch and participants with flat foot. conclusion: Findings indicate that normal medial longitudinal arch group had greater scores for all variables than flat foot group. Positive significant correlations between all variables except ankle mobility were found. The relationship between range of motion and isometric strength was less pronounced, indicating that these variables may be influenced by other biomechanical factors.",Med Arch
Children Flat Foot and Lower Limb Rotational Profile: A Cross-Sectional Descriptive Study,"Sonia, Jemni; Nadia, Lazreg; Manel, Abid; Samia, Frioui; Mohamed, Ben Rejeb; Walid, Osman; Afif, Zaoui; Faycel, Khachnaoui",2015.0,"Flat foot in children is a common deformation, which appears during the first years of life. It requires a rigorous evaluation to rule out congenital or neurological abnormality. It is characterized by a decrease of the plantar concavity indeed collapse of the foot, often associated with other morphostatic deformations. The aim of this study is to find a correlation between the essential flat foot in children and lower limb disorders torsional. It is a cross-sectional descriptive study, recruiting 110 children (220 feet) aged between 3 and 6 years old. Each child was given an assessment of the morphology of the foot (Contact Index II…) and lower limb rotational profile (intoeing and femoral antétorsion and tibal torsion). Among 110 children, 21 (19.1%) have bilateral flat feet and 7 (6.4%) have unilateral flat feet, associated with an average value of Contact Index II equal to 0.921; the minimum value is 0.880 and the maximum value is 1.17. All children with flat feet have excessive femoral antétorsion; 45 (92%) are associated with a hip intoeing and 38 (80%) present an insufficient external tibial torsion. The analysis of multiple regression shows a significantly elevated correlation among the flat foot and excessive internal rotation of the hip (F = 70.36, r = 0.77, P < 0.001), excessive femoral antetorsion (F = 54.78, r = 0.73, P < 0.001) and insufficient external tibial torsion (F = 7.79, r = 0.37, P < 0.001).",OJO
THE ASSOSIATION BETWEEN PROGRESSION OF FLAT FOOT AND KNEE DEFORMITY IN PATIENTS WITH KNEE OSTEOARTHRITIS -A STUDY WITH THREE-DIMENSIONAL UPRIGHT COMPUTED TOMOGRAPHY-,"Hakukawa, S.; Kaneda, K.; Yamada, Y.; Harato, K.; Sasaki, R.; Oki, S.; Kobayashi, S.; Niki, Y.; Nagura, T.; Jinzaki, M.; Nakamura, M.",2022.0,"Purpose: To describe the relationship between knee osteoarthritis (OA) and the medial longitudinal arch of the foot using radiographs and 320-row upright computed tomography (CT) both in healthy adult volunteers and patients with knee osteoarthritis.
Methods: A total of 116 lower limbs of 62 healthy adult volunteers and patients with medial knee OA (age 70.5±8.6 years, BMI 24.8±4.5 kg/m2) were measured in this study (Fig.1). The entire length of the lower limbs was taken by a 320-row whole-body standing CT and X ray images. The lateral Meary's angle and anterior-posterior (AP) Meary’s angle were used as an index of medial longitudinal arch (Fig.2), and the patients were classified into three groups based on the Kellgren-Lawrence grade: normal, mild, and severe group. Furthermore, in the mild and severe OA groups, the knee joint three-dimensional angles were compared by classifying the flat foot into two groups according to change in lateral Meary's angle range (<15 degrees as mild flat foot and≧15 degrees as moderate flat foot groups).
Results: AP Meary's angle in the normal group was higher than other groups, but there was no significant difference in lateral Meary's angle between the three groups. The internal rotation angle of the talocrural joint was greater in the Normal group than in the Mild OA and Severe OA groups, the dorsiflexion angle of the subtalar joint was smaller in the Normal group than in the Mild OA and Severe OA groups, and the internal rotation angle of the Severe OA group was smaller than that of the Mild OA group (Fig.3). The lateral Meary's angle showed a less correlation with the varus angle of the subtalar joint. On the other hand, comparing the Mild and Severe OA groups with lateral Meary's angle, the Severe flat foot group had greater knee joint varus angle than the Mild flat foot group (Fig.4).
Conclusions: Our results show that extreme flat foot may occur as knee OA progresses, especially when the knee progresses from KL-1 to KL-2,3. The medial longitudinal arch index in this study differed only in AP Meary's angle, but not in lateral Meary's angle. AP Meary's angle is not only a measure of arch height, but also a useful indicator for assessing flatfoot. The AP Meary's angle not only defines the height of the arch but is also a useful indicator for assessing planovalgus deformity. Planovalgus deformity is characteristic of the pathology of adult flatfoot and may reflect the effects of both talocrural and subtalar joint alignment. Although there were no cases of hallux valgus in our participants, the relationship between hallux valgus and the angle of the big toe needs to be investigated. There was also an increase in knee valgus alignment in patients with Severe flat feet compared to those with Mild flat feet. Although the importance of correcting hindfoot alignment has been suggested for knee valgus alignment, the results of this study suggest that it is important to maintain not only the hindfoot but also the arch.
",Osteoarthritis and Cartilage
Tibial Torsion and Patellofemoral Pain and Instability in the Adult Population: Current Concept Review,"Snow, Martyn",2021.0,"Purpose of review Tibial torsion is a recognized cause of patellofemoral pain and instability in the paediatric population; however, it is commonly overlooked in the adult population. The aim of this review article is to summarize the current best evidence on tibial torsion for the adult orthopaedic surgeon.",Curr Rev Musculoskelet Med
The Influence of Tibial and Femoral Rotation on Patellofemoral Contact Area and Pressure,"Lee, Thay Q.; Morris, Garrett; Csintalan, Rick P.",2003.0,"Fixed rotation of either the femur or tibia has a significant influence on the patellofemoral joint contact areas and pressures. This is due to the anatomic asymmetry in the knee with respect to all planes, as well as the laterally directed force vector that naturally exists in bipedal lower-limb biomechanics. Specifically, femoral rotation results in an increase in patellofemoral contact pressures on the contralateral facets of the patella, and tibial rotation results in an increase in patellofemoral contact pressures on the ipsilateral facets of the patella. This difference can be elucidated when one considers that rotation of the femur is biomechanically different than rotation of the tibia. For both tibial and femoral rotations, the patella’s distal attachment to the tibial tubercle influences the direction of patellar movement. The biomechanical evidence reviewed in this manuscript suggests that the determining factor in patellofemoral pathology is the derangement of normal joint mechanics. However, despite considerable experimental data supporting this position, there also are theories that suggest otherwise. This illustrates a very important point in patellofemoral joint pathology, where no one factor may be the sole defining etiology. Instead, the patellofemoral joint is one of the most complex diarthrodial joints in the body and there are a number of etiologic factors that can lead to pathology. This should be considered for developing repair and rehabilitation strategies.
",J Orthop Sports Phys Ther
Effect of tibial rotational alignment and posterior slope on joint biomechanics in posterior-stabilized total knee arthroplasty: a finite element study,"Shao, Long; Wu, Xiangdong; Fang, Chaohua; Zhu, Hongli; Tao, Kun; Wang, Shicheng",2025.0,"Background This study aims to clarify the combined influence of the tibial rotational alignment and posterior slope on knee joint biomechanics after posterior-stabilized total knee arthroplasty using a computer simulation.  Methods Computer tomographic and magnetic resonance imaging scan of a healthy volunteer were used to reconstruct a detailed 3D geometrical model. A virtual surgery was performed to generate a resection plane with different posterior slopes and rotational alignment on the proximal tibia. The internal, neutral and external rotation, combined with a posterior slope of 0, 3, 5, and 7 degrees were simulated for both standing and bending position. The differences in contact pressure, area and stress of polyethene liner and the tensile stress of the soft tissue were compared.  Results The contact area on the polyethylene liner decreased with increasing posterior slope in a standing position while the opposite trend was found in a bending position. In a bending position, internal rotation of tibial component resulted in smaller contact areas than neutral or external rotation. A posterior slope of 0° combined with neutral rotation in a standing position showed the smallest pressure on the liner with biggest contact area. The distribution of von Mises stress was more uniform with 0° and 3° than 5° and 7° posterior tibial slope for both standing and bending position. The stress increased with increasing posterior slope in both standing and bending position, ranging from 8.77 MPa to 79.39 MPa. The ligament and muscle tensile stress increased with increasing posterior slope in both standing and bending position. In addition, the neutral rotation showed lower maximum stress compared with other rotational alignment in a standing position.  Conclusions An increased posterior slope increases the contact pressure and stress of the polyethene liner and the ligament tensile stress. A neutral rotation combined with a posterior slope of less than 3° showed superior biomechanical results in posterior-stabilized TKA.
",Eur J Med Res
Increase in tibial internal rotation due to weight-bearing is a key feature to diagnose early-stage knee osteoarthritis: a study with upright computed tomography,"Kaneda, Kazuya; Harato, Kengo; Oki, Satoshi; Yamada, Yoshitake; Nakamura, Masaya; Nagura, Takeo; Jinzaki, Masahiro",2022.0,"BACKGROUND: The classification of knee osteoarthritis is an essential clinical issue, particularly in terms of diagnosing early knee osteoarthritis. However, the evaluation of three-dimensional limb alignment on two-dimensional radiographs is limited. This study evaluated the three-dimensional changes induced by weight-bearing in the alignments of lower limbs at various stages of knee osteoarthritis. METHODS: Forty five knees of 25 patients (69.9 ± 8.9 years) with knee OA were examined in the study. CT images of the entire leg were obtained in the supine and standing positions using conventional CT and 320-row detector upright CT, respectively. Next, the differences in the three-dimensional alignment of the entire leg in the supine and standing positions were obtained using 3D-3D surface registration technique, and those were compared for each Kellgren-Lawrence grade. RESULTS: Greater flexion, adduction, and tibial internal rotation were observed in the standing position, as opposed to the supine position. Kellgren-Lawrence grades 1 and 4 showed significant differences in flexion, adduction, and tibial internal rotation between two postures. Grades 2 and 4 showed significant differences in adduction, while grades 1 and 2, and 1 and 3 showed significant differences in tibial internal rotation between standing and supine positions. CONCLUSIONS: Weight-bearing makes greater the three-dimensional deformities in knees with osteoarthritis. Particularly, greater tibial internal rotation was observed in patients with grades 2 and 3 compared to those with grade 1. The greater tibial internal rotation due to weight-bearing is a key pathologic feature to detect early osteoarthritic change in knees undergoing osteoarthritis.",BMC Musculoskelet Disord
Comparison of Foot Pronation and Lower Extremity Rotation in Persons With and Without Patellofemoral Pain,"Powers, Christopher M.; Chen, Pon-Yo; Reischl, Stephen F.; Perry, Jaquelin",2002.0,"Abnormal foot pronation and subsequent rotation of the lower extremity has been hypothesized as being contributory to patellofemoral pain (PFP). The purpose of this study was to test the hypothesis that subjects with PFP would exhibit larger degrees of foot pronation, tibia internal rotation, and femoral internal rotation compared to individuals without PFP. Twenty-four female subjects with a diagnosis of PFP and 17 female subjects without PFP participated. Three-dimensional kinematics of the foot, tibia, and femur segments were recorded during self-selected free-walking trials using a six-camera motion analysis system (VICON). No group differences were found with respect to the magnitude and timing of peak foot pronation and tibia rotation. However, the PFP group demonstrated significantly less femur internal rotation compared the comparison group. These results do not support the hypothesis that individuals with PFP demonstrate excessive foot pronation or tibial internal rotation compared to nonpainful individuals. The finding of decreased internal rotation in the PFP group suggests that this motion may be a compensatory strategy to reduce the quadriceps angle.",Foot Ankle Int.
The effects of tibial rotation on the patellofemoral joint: assessment of the changes in in situ strain in the peripatellar retinaculum and the patellofemoral contact pressures and areas,"Lee, T. Q.; Yang, B. Y.; Sandusky, M. D.; McMahon, P. J.",2001.0,"The objective of this study was to determine the effects of tibial rotation on in situ strain in the peripatellar retinaculum and patellofemoral contact pressures and areas. Patellofemoral joint biomechanics demonstrate a strong correlation with the etiology of patellofemoral disorders, such as chondromalacia, and are significantly influenced by tibial rotation. Six human cadaveric knees were used along with a patellofemoral joint testing jig that permits physiological loading of the knee extensor muscles. Patellofemoral contact pressures and areas were measured with a Fuji pressure-sensitive film, and the changes in in situ strain in the peripatellar retinaculum were measured with four differential variable reluctance transducers. Tibial rotation had a significant effect on patellofemoral joint biomechanics. The data showed an inverse relationship between increasing knee flexion angles and the change in patellofemoral contact pressures and in situ strain with tibial rotation. At higher knee flexion angles, the patella is well-seated in the trochlear groove and the function of the peripatellar retinaculum is minimized and less affected by tibial rotations.",J Rehabil Res Dev
Different effects of femoral and tibial rotation on the different measurements of patella tilting: An axial computed tomography study,"Lin, Yeong-Fwu; Jan, Mei-Hwa; Lin, Da-Hon; Cheng, Cheng-Kung",2008.0,"BACKGROUND: The various measurements of patellar tilting failed to isolate patellar tilting from the confounding effect of its neighboring bone rotation (femoral and tibial rotation) in people sustaining patellofemoral pain (PFPS). Abnormal motions of the tibia and the femur are believed to have an effect on patellofemoral mechanics and therefore PFPS. The current work is to explore the various effects of neighboring bone rotation on the various measurements of patellar tilting, through an axial computed tomography study, to help selecting a better parameter for patella tilting and implement a rationale for the necessary intervention at controlling the limb alignment in the therapeutic regime of PFPS. METHODS: Forty seven patients (90 knees), comprising of 34 females and 11 males, participated in this study. Forty five knees, from randomly selected sides of bilaterally painful knees and the painful knees of unilaterally painful knees, were enrolled into the study. From the axial CT images in the subject knees in extension with quadriceps relaxed, the measurements of femoral rotation, tibial rotation, femoral rotation relative to tibia, and 3 parameters for patella tilting were obtained and analyzed to explore the relationship between the different measurements of patella tilt angle and the measurements of its neighboring bone rotation (femoral, tibial rotation, and femoral rotation relative to tibia). RESULTS: The effect of femoral, tibial rotation, and femoral rotation relative to tibia on patella tilting varied with the difference in the way of measuring the patella tilt angle. Patella tilt angle of Grelsamer increased with increase in femoral rotation, and tibial rotation. Patella tilt angle of Sasaki was stationary with change in femoral rotation, tibial rotation, or femoral rotation relative to tibia. While, modified patella tilt angle of Fulkerson decreased with increase in femoral rotation, tibial rotation, or femoral rotation relative to tibia. CONCLUSION: The current study has demonstrated various effects of regional bony alignment on the different measurements of the patellar tilt. And the influence of bony malalignment on the patellar tilt might draw a clinical implication that patellar malalignment can not be treated, separately, independent of the related limb alignment. This clinical implication has to be verified by further works, with a comprehensive evaluation of the various treatments of patellar malalignment.",J Orthop Surg Res
The biomechanics of patellofemoral pain syndrome in distance runners,Leitch,2011.0,"Patellofemoral pain syndrome (PFPS) is the most common injury in runners. This thesis investigates the theory that prolonged eversion at the rear-foot causes prolonged tibial internal rotation and excessive femoral internal rotation, and predisposes female, distance runners to PFPS. Since eversion occurs at the subtalar joint, the morphology of the talus and calcaneus were also assessed. The study was a case-control investigation between female runners with a history of PFPS (n = 9) and normal controls (n = 10). Gait analysis was used to measure lower-limb joint angles during barefoot, treadmill running. It was hypothesised that runners with PFPS would demonstrate prolonged rearfoot eversion and tibial internal rotation, and increased hip internal rotation compared to normal controls. Computed tomography was used to image the foot and ankle in simulated weight-bearing using a custom-built loading rig. Three-dimensional models of the talus and calcaneus were generated and their shapes were quantified using principal axis lengths and orientations. The results did not support the theory that prolonged eversion and rear-foot structure predispose to PFPS during running, and attributing PFPS to these factors should be done with discretion. However, runners with a history of PFPS exhibited increased rear-foot eversion, reduced rear-foot dorsiflexion and increased knee internal rotation compared to normal controls during running, walking and squatting. Subjects with PFPS also demonstrated increased dorsiflexion at the mid-foot. It was proposed that increased eversion was secondary to reduced rear-foot dorsiflexion as this enabled compensatory dorsiflexion at the mid-tarsal complex. Due to the tight articulation of the ankle mortise, increased knee internal rotation corresponds well with excessive rear-foot eversion. A prospective study is required to establish whether these kinematic alterations are a cause or an effect of PFPS.
",
Investigation of Risk Factors for  History of Medial Tibial Stress  Syndrome in Referees,Fatma UNVER1,,"Purpose: The aim of this study was to investigate potential risk factors associated with a history of medial tibial stress syndrome (MTSS) in football referees. Methods: A total of 39 referees participated in this cross-sectional study. Based on the definition criteria for MTSS reported in the literature, participants were divided into two groups: those with a history of MTSS (n=14) and those without (n=25). All assessments were conducted in a blinded manner, with examiners unaware of group allocation. The navicular drop test, Craig's test, and heel elevation endurance test were administered to evaluate lower extremity function. Hip internal and external rotation, knee flexion, and ankle dorsiflexion and plantarflexion ROM were measured using a standard goniometer. Sleep quality was assessed using the Pittsburgh Sleep Quality Index (PSQI). Additionally, participants were asked about their athletic history and the comfort of the footwear they used during training and competition. Perceived running condition was evaluated using the Visual Analog Scale (VAS). Results: MTSS history was determined in 14 of the referees participating in the study. Statistically significant differences were found between groups regarding height length (p = 0.006), condition (p = 0.045), left knee flexion angle (p = 0.007) and right knee flexion angle (p = 0.046). According to the regression analysis result, MTSS history (right) and left knee flexion angle were found to be significantly related (p = 0.015). There was no significant difference or relationship between other variables (p> 0.05). Conclusion: According to our results, individuals with a history of MTSS had significantly greater height, while their running condition and knee flexion angle were significantly lower compared to those without a history of MTSS. These variables showed statistically significant differences between the two groups.
",
Biomechanical risk factors associated with iliotibial band syndrome in runners: a systematic review,"Aderem, Jodi; Louw, Quinette A.",2015.0,"BACKGROUND: Iliotibial band syndrome is the second most common running injury. A gradual increase in its occurrence has been noted over the past decade. This may be related to the increasing number of runners worldwide. Since the last systematic review, six additional papers have been published, providing an opportunity for this review to explore the previously identified proximal risk factors in more detail. The aim of this systematic review is thus to provide an up to date quantitative synthesis of the trunk, pelvis and lower limb biomechanical risk factors associated with Iliotibial band syndrome in runners and to provide an algorithm for future research and clinical guidance. METHODS: An electronic search was conducted of literature published up until April 2015. The critical appraisal tool for quantitative studies was used to evaluate methodological quality of eligible studies. Forest plots displayed biomechanical findings, mean differences and confidence intervals. Level of evidence and clinical impact were evaluated for each risk factor. A meta-analysis was conducted where possible. RESULT: Thirteen studies were included (prospective (n = 1), cross-sectional (n = 12)). Overall the methodological score of the studies was moderate. Female shod runners who went onto developing Iliotibial band syndrome presented with increased peak hip adduction and increased peak knee internal rotation during stance. Female shod runners with Iliotibial band syndrome presented with increased: peak knee internal rotation and peak trunk ipsilateral during stance. CONCLUSION: Findings indicate new quantitative evidence about the biomechanical risk factors associated with Iliotibial band syndrome in runners. Despite these findings, there are a number of limitations to this review including: the limited number of studies, small effect sizes and methodological shortcomings. This review has considered these shortcomings and has summarised the best available evidence to guide clinical decisions and plan future research on Iliotibial band syndrome aetiology and risk.",BMC Musculoskelet Disord
